Problem Number;Problem Sub Status;Problem Change Date+Time;Problem Status
1-601400851;Awaiting Assignment;2011-12-07T15:01:12+01:00;Queued
1-601400851;In Progress;2011-12-07T15:01:20+01:00;Accepted
1-601400851;Awaiting Assignment;2011-12-07T15:04:17+01:00;Queued
1-601400851;In Progress;2012-01-10T16:27:44+01:00;Accepted
1-601400851;Closed;2012-01-10T16:29:11+01:00;Completed
1-601433623;In Progress;2011-11-03T10:02:34+01:00;Accepted
1-601433623;Closed;2012-01-12T11:06:35+01:00;Completed
1-601636752;In Progress;2011-11-03T13:23:28+01:00;Accepted
1-601636752;Closed;2012-01-03T09:32:27+01:00;Completed
1-601819090;In Progress;2011-11-03T18:45:21+01:00;Accepted
1-601819090;In Progress;2012-02-02T12:18:05+01:00;Accepted
1-601819090;Assigned;2012-02-02T12:18:31+01:00;Accepted
1-601819090;In Progress;2012-03-08T13:58:03+01:00;Accepted
1-601819090;Closed;2012-03-08T13:58:40+01:00;Completed
1-602316021;In Progress;2011-11-04T08:40:13+01:00;Accepted
1-602316021;Wait;2011-11-04T08:40:22+01:00;Accepted
1-602316021;In Progress;2012-01-03T08:04:51+01:00;Accepted
1-602316021;Closed;2012-02-10T08:08:31+01:00;Completed
1-602316067;In Progress;2011-11-04T08:41:14+01:00;Accepted
1-602316067;Wait;2011-11-04T08:43:29+01:00;Accepted
1-602316067;In Progress;2012-01-03T08:07:05+01:00;Accepted
1-602316067;Closed;2012-02-10T08:05:02+01:00;Completed
1-602316153;Wait;2011-11-04T08:43:24+01:00;Accepted
1-602316153;Awaiting Assignment;2012-01-03T08:22:34+01:00;Queued
1-602316153;In Progress;2012-01-03T09:31:31+01:00;Accepted
1-602316153;Wait;2012-01-03T09:31:39+01:00;Accepted
1-602316153;Closed;2012-03-30T12:46:28+01:00;Completed
1-602316201;Wait;2011-11-04T08:44:24+01:00;Accepted
1-602316201;Closed;2012-02-10T08:07:18+01:00;Completed
1-602316215;Wait;2011-11-04T08:45:46+01:00;Accepted
1-602316215;In Progress;2012-01-03T08:07:54+01:00;Accepted
1-602316215;Closed;2012-02-10T08:04:41+01:00;Completed
1-602316249;Wait;2011-11-04T08:46:53+01:00;Accepted
1-602316249;Closed;2012-02-10T08:02:42+01:00;Completed
1-602396115;In Progress;2011-11-04T10:27:04+01:00;Accepted
1-602396115;Wait;2011-11-04T12:23:05+01:00;Accepted
1-602396115;Closed;2012-05-21T12:49:52+01:00;Completed
1-602464818;Wait;2011-11-04T16:13:21+01:00;Accepted
1-602464818;Closed;2012-04-23T12:37:01+01:00;Completed
1-602870173;In Progress;2011-11-06T09:00:41+01:00;Accepted
1-602870173;Awaiting Assignment;2011-11-06T09:10:10+01:00;Queued
1-602870173;In Progress;2011-11-07T08:35:18+01:00;Accepted
1-602870173;Awaiting Assignment;2011-11-07T08:38:14+01:00;Queued
1-602870173;In Progress;2011-11-07T09:10:45+01:00;Accepted
1-602870173;Wait;2011-11-07T10:03:58+01:00;Accepted
1-602870173;In Progress;2011-11-07T11:45:40+01:00;Accepted
1-602870173;Awaiting Assignment;2011-11-07T11:47:27+01:00;Queued
1-602870173;In Progress;2011-11-08T10:42:37+01:00;Accepted
1-602870173;Assigned;2011-11-09T12:08:35+01:00;Accepted
1-602870173;In Progress;2011-11-09T12:09:46+01:00;Accepted
1-602870173;Closed;2011-11-25T08:39:57+01:00;Completed
1-602870173;In Progress;2011-12-07T13:25:46+01:00;Accepted
1-602870173;Awaiting Assignment;2011-12-07T13:27:34+01:00;Queued
1-602870173;In Progress;2011-12-07T13:29:22+01:00;Accepted
1-602870173;Assigned;2011-12-07T13:29:55+01:00;Accepted
1-602870173;Awaiting Assignment;2011-12-07T13:50:32+01:00;Queued
1-602870173;In Progress;2012-01-22T22:20:26+01:00;Accepted
1-602870173;Closed;2012-01-22T22:21:04+01:00;Completed
1-603537274;In Progress;2011-11-07T06:50:44+01:00;Accepted
1-603537274;Wait;2011-11-07T06:51:29+01:00;Accepted
1-603537274;Assigned;2011-11-07T06:51:56+01:00;Accepted
1-603537274;Assigned;2011-11-08T14:56:57+01:00;Accepted
1-603537274;Wait;2012-05-23T12:48:56+01:00;Accepted
1-603537274;Closed;2012-05-28T06:16:32+01:00;Completed
1-603563148;In Progress;2011-11-07T08:26:58+01:00;Accepted
1-603563148;Closed;2012-01-09T12:27:06+01:00;Completed
1-603708003;In Progress;2011-11-07T10:47:29+01:00;Accepted
1-603708003;Closed;2012-01-30T14:08:22+01:00;Completed
1-603798757;In Progress;2011-11-07T11:57:05+01:00;Accepted
1-603798757;Closed;2012-05-23T12:07:40+01:00;Completed
1-604432843;In Progress;2011-11-08T09:01:01+01:00;Accepted
1-604432843;Closed;2012-02-01T09:55:22+01:00;Completed
1-604432860;In Progress;2011-11-08T09:02:33+01:00;Accepted
1-604432860;Closed;2012-02-01T09:55:55+01:00;Completed
1-604432887;In Progress;2011-11-08T09:03:55+01:00;Accepted
1-604432887;Closed;2012-02-01T09:56:20+01:00;Completed
1-604604928;In Progress;2011-11-08T12:29:53+01:00;Accepted
1-604604928;Wait;2011-11-08T12:54:05+01:00;Accepted
1-604604928;Closed;2012-01-11T05:34:37+01:00;Completed
1-604645912;In Progress;2011-11-08T13:37:04+01:00;Accepted
1-604645912;Awaiting Assignment;2011-11-08T13:37:05+01:00;Queued
1-604645912;In Progress;2011-11-08T13:38:40+01:00;Accepted
1-604645912;Awaiting Assignment;2011-11-08T13:38:53+01:00;Queued
1-604645912;In Progress;2011-11-08T13:39:34+01:00;Accepted
1-604645912;In Progress;2011-11-08T13:47:11+01:00;Accepted
1-604645912;Closed;2012-02-01T12:27:13+01:00;Completed
1-604646378;In Progress;2011-11-08T14:23:20+01:00;Accepted
1-604646378;Closed;2012-04-12T13:23:47+01:00;Completed
1-604882241;In Progress;2011-11-08T19:21:15+01:00;Accepted
1-604882241;Awaiting Assignment;2011-11-08T19:30:30+01:00;Queued
1-604882241;In Progress;2011-11-11T07:58:22+01:00;Accepted
1-604882241;Awaiting Assignment;2011-11-11T08:02:17+01:00;Queued
1-604882241;In Progress;2011-11-11T08:05:40+01:00;Accepted
1-604882241;Awaiting Assignment;2012-01-04T16:45:39+01:00;Queued
1-604882241;In Progress;2012-01-04T16:46:03+01:00;Accepted
1-604882241;Closed;2012-01-04T16:49:48+01:00;Completed
1-605029866;Assigned;2011-11-09T11:04:16+01:00;Accepted
1-605029866;In Progress;2011-11-09T11:58:57+01:00;Accepted
1-605029866;Closed;2012-02-22T11:21:10+01:00;Completed
1-605034229;In Progress;2011-11-09T09:17:08+01:00;Accepted
1-605034229;Wait;2011-11-09T09:17:58+01:00;Accepted
1-605034229;Closed;2012-01-18T13:50:24+01:00;Completed
1-605184371;In Progress;2011-11-09T11:41:22+01:00;Accepted
1-605184371;Assigned;2011-12-09T12:47:46+01:00;Accepted
1-605184371;Wait;2011-12-09T15:06:20+01:00;Accepted
1-605184371;Assigned;2012-01-13T10:16:22+01:00;Accepted
1-605184371;In Progress;2012-01-20T06:55:08+01:00;Accepted
1-605184371;Wait;2012-02-01T12:45:27+01:00;Accepted
1-605184371;Closed;2012-04-13T10:10:39+01:00;Completed
1-605279637;In Progress;2011-11-09T14:27:59+01:00;Accepted
1-605279637;Closed;2012-02-15T11:44:42+01:00;Completed
1-605728578;In Progress;2011-11-10T11:46:15+01:00;Accepted
1-605728578;Wait;2011-11-10T11:52:04+01:00;Accepted
1-605728578;Closed;2012-01-09T13:36:47+01:00;Completed
1-606068287;In Progress;2011-11-11T04:57:04+01:00;Accepted
1-606068287;Awaiting Assignment;2011-11-11T04:58:52+01:00;Queued
1-606068287;Awaiting Assignment;2011-11-13T05:23:39+01:00;Queued
1-606068287;Awaiting Assignment;2011-12-01T08:16:48+01:00;Queued
1-606068287;In Progress;2012-01-04T14:00:38+01:00;Accepted
1-606068287;Wait;2012-01-04T14:00:42+01:00;Accepted
1-606068287;Closed;2012-02-27T13:26:37+01:00;Completed
1-606441115;In Progress;2011-11-11T15:55:57+01:00;Accepted
1-606441115;Wait;2012-03-05T13:19:28+01:00;Accepted
1-606441115;Closed;2012-03-05T13:20:03+01:00;Completed
1-606724483;In Progress;2011-11-14T01:21:36+01:00;Accepted
1-606724483;Awaiting Assignment;2011-11-14T01:25:05+01:00;Queued
1-606724483;In Progress;2011-12-19T15:56:47+01:00;Accepted
1-606724483;In Progress;2012-02-17T10:18:34+01:00;Accepted
1-606724483;Closed;2012-02-17T10:18:42+01:00;Completed
1-606829317;In Progress;2011-11-14T09:39:18+01:00;Accepted
1-606829317;Awaiting Assignment;2011-11-14T09:40:23+01:00;Queued
1-606829317;In Progress;2011-12-19T15:57:28+01:00;Accepted
1-606829317;Closed;2012-01-04T15:25:13+01:00;Completed
1-606971198;In Progress;2011-11-14T12:01:10+01:00;Accepted
1-606971198;In Progress;2011-11-14T12:03:18+01:00;Accepted
1-606971198;In Progress;2012-03-14T12:25:28+01:00;Accepted
1-606971198;Assigned;2012-03-14T12:28:01+01:00;Accepted
1-606971198;In Progress;2012-03-14T13:55:06+01:00;Accepted
1-606971198;Closed;2012-03-14T13:55:07+01:00;Completed
1-607158761;In Progress;2011-11-14T14:38:06+01:00;Accepted
1-607158761;In Progress;2011-11-14T14:38:49+01:00;Accepted
1-607158761;Awaiting Assignment;2011-11-17T13:32:14+01:00;Queued
1-607158761;In Progress;2011-12-13T10:08:38+01:00;Accepted
1-607158761;Closed;2012-03-06T14:55:15+01:00;Completed
1-607520800;In Progress;2011-11-15T09:26:37+01:00;Accepted
1-607520800;Wait;2011-12-09T12:12:43+01:00;Accepted
1-607520800;Closed;2012-03-19T16:07:06+01:00;Completed
1-607840637;In Progress;2011-11-15T14:15:57+01:00;Accepted
1-607840637;Closed;2012-01-27T13:46:02+01:00;Completed
1-607934151;Wait;2011-11-15T15:37:49+01:00;Accepted
1-607934151;Closed;2012-02-15T11:35:45+01:00;Completed
1-608010054;In Progress;2011-11-15T17:44:09+01:00;Accepted
1-608010054;Awaiting Assignment;2011-11-15T17:44:52+01:00;Queued
1-608010054;In Progress;2011-11-21T11:30:07+01:00;Accepted
1-608010054;Closed;2012-05-23T17:28:37+01:00;Completed
1-608036754;Awaiting Assignment;2011-11-15T21:22:20+01:00;Queued
1-608036754;Awaiting Assignment;2011-11-18T13:25:55+01:00;Queued
1-608036754;In Progress;2011-11-21T13:18:05+01:00;Accepted
1-608036754;Wait;2011-11-21T13:20:43+01:00;Accepted
1-608036754;In Progress;2012-01-24T09:56:45+01:00;Accepted
1-608036754;Closed;2012-02-13T10:17:51+01:00;Completed
1-608735919;In Progress;2011-11-16T10:20:29+01:00;Accepted
1-608735919;Wait;2011-11-16T11:31:40+01:00;Accepted
1-608735919;In Progress;2012-01-13T13:49:52+01:00;Accepted
1-608735919;Closed;2012-01-13T13:50:48+01:00;Completed
1-609011164;In Progress;2011-11-16T17:09:39+01:00;Accepted
1-609011164;Awaiting Assignment;2011-11-16T17:39:55+01:00;Queued
1-609011164;In Progress;2011-12-19T15:57:47+01:00;Accepted
1-609011164;Closed;2012-01-04T14:30:41+01:00;Completed
1-609700424;In Progress;2011-11-17T09:38:21+01:00;Accepted
1-609700424;Assigned;2011-11-17T09:53:34+01:00;Accepted
1-609700424;In Progress;2012-01-23T10:38:53+01:00;Accepted
1-609700424;Closed;2012-02-29T12:09:57+01:00;Completed
1-611506787;In Progress;2011-11-18T08:28:00+01:00;Accepted
1-611506787;Wait;2011-12-27T14:47:10+01:00;Accepted
1-611506787;Closed;2012-01-03T10:49:38+01:00;Completed
1-611582327;In Progress;2011-11-18T11:58:02+01:00;Accepted
1-611582327;Closed;2012-03-14T15:55:46+01:00;Completed
1-611582394;In Progress;2011-11-18T11:59:39+01:00;Accepted
1-611582394;Closed;2012-02-01T12:32:12+01:00;Completed
1-611605221;In Progress;2011-11-18T11:16:41+01:00;Accepted
1-611605221;Wait;2012-01-19T17:12:53+01:00;Accepted
1-611605221;Closed;2012-01-25T18:27:07+01:00;Completed
1-611632212;In Progress;2011-11-18T12:20:03+01:00;Accepted
1-611632212;In Progress;2011-12-21T14:26:03+01:00;Accepted
1-611632212;Wait;2011-12-21T14:26:22+01:00;Accepted
1-611632212;Closed;2012-03-14T12:04:02+01:00;Completed
1-611637278;In Progress;2011-11-18T14:14:42+01:00;Accepted
1-611637278;Closed;2012-01-17T15:32:16+01:00;Completed
1-611651603;In Progress;2011-11-18T11:35:36+01:00;Accepted
1-611651603;Wait;2011-11-18T11:38:20+01:00;Accepted
1-611651603;In Progress;2011-11-18T12:32:43+01:00;Accepted
1-611651603;Closed;2012-02-15T14:07:13+01:00;Completed
1-612515539;In Progress;2011-11-19T20:35:42+01:00;Accepted
1-612515539;Awaiting Assignment;2011-11-19T20:37:42+01:00;Queued
1-612515539;In Progress;2011-11-21T08:04:32+01:00;Accepted
1-612515539;Awaiting Assignment;2011-11-21T08:07:43+01:00;Queued
1-612515539;In Progress;2012-01-24T10:18:31+01:00;Accepted
1-612515539;Wait;2012-01-24T10:19:23+01:00;Accepted
1-612515539;Closed;2012-01-31T13:50:15+01:00;Completed
1-613033122;In Progress;2011-11-21T09:34:45+01:00;Accepted
1-613033122;Wait;2011-11-28T16:12:09+01:00;Accepted
1-613033122;In Progress;2011-12-05T20:38:55+01:00;Accepted
1-613033122;Closed;2012-02-08T21:42:42+01:00;Completed
1-613364032;In Progress;2011-11-21T16:02:34+01:00;Accepted
1-613364032;In Progress;2011-11-21T16:04:07+01:00;Accepted
1-613364032;Wait;2012-01-16T07:53:42+01:00;Accepted
1-613364032;Awaiting Assignment;2012-02-21T06:53:58+01:00;Queued
1-613364032;In Progress;2012-02-21T07:40:48+01:00;Accepted
1-613364032;Awaiting Assignment;2012-02-21T11:11:30+01:00;Queued
1-613364032;In Progress;2012-02-27T11:04:23+01:00;Accepted
1-613364032;Closed;2012-03-14T07:10:20+01:00;Completed
1-613412559;In Progress;2011-11-21T16:27:27+01:00;Accepted
1-613412559;Closed;2012-01-06T18:59:13+01:00;Completed
1-613496066;In Progress;2011-11-22T00:57:49+01:00;Accepted
1-613496066;Awaiting Assignment;2011-11-22T01:06:42+01:00;Queued
1-613496066;In Progress;2011-11-29T15:29:02+01:00;Accepted
1-613496066;Wait;2011-11-29T15:33:42+01:00;Accepted
1-613496066;Closed;2012-03-16T07:50:31+01:00;Completed
1-613740745;In Progress;2011-11-22T07:32:34+01:00;Accepted
1-613740745;Closed;2012-01-04T10:44:19+01:00;Completed
1-614378697;In Progress;2011-11-23T00:48:06+01:00;Accepted
1-614378697;Awaiting Assignment;2011-11-23T00:54:14+01:00;Queued
1-614378697;In Progress;2012-02-01T14:35:57+01:00;Accepted
1-614378697;Closed;2012-03-14T11:14:44+01:00;Completed
1-614378787;In Progress;2011-11-23T00:54:50+01:00;Accepted
1-614378787;Awaiting Assignment;2011-11-23T01:06:12+01:00;Queued
1-614378787;In Progress;2012-03-15T09:49:49+01:00;Accepted
1-614378787;Closed;2012-03-15T09:50:07+01:00;Completed
1-614451236;In Progress;2011-11-23T07:06:12+01:00;Accepted
1-614451236;Closed;2012-03-20T13:47:33+01:00;Completed
1-615224713;In Progress;2011-11-23T15:01:03+01:00;Accepted
1-615224713;Closed;2012-01-13T13:26:02+01:00;Completed
1-615905511;In Progress;2011-11-24T07:34:09+01:00;Accepted
1-615905511;Wait;2012-02-07T15:03:51+01:00;Accepted
1-615905511;Closed;2012-04-25T15:00:33+01:00;Completed
1-616014042;In Progress;2011-11-24T11:07:34+01:00;Accepted
1-616014042;Closed;2012-03-28T11:41:08+01:00;Completed
1-616211466;In Progress;2011-11-24T13:08:26+01:00;Accepted
1-616211466;Wait;2011-11-24T13:11:59+01:00;Accepted
1-616211466;Awaiting Assignment;2011-12-21T12:31:08+01:00;Queued
1-616211466;Awaiting Assignment;2012-01-20T02:32:09+01:00;Queued
1-616211466;In Progress;2012-02-13T03:22:20+01:00;Accepted
1-616211466;Wait;2012-02-13T03:22:28+01:00;Accepted
1-616211466;In Progress;2012-03-15T12:22:42+01:00;Accepted
1-616211466;Closed;2012-03-15T12:22:50+01:00;Completed
1-616288482;In Progress;2011-11-24T14:07:54+01:00;Accepted
1-616288482;In Progress;2011-11-24T14:08:48+01:00;Accepted
1-616288482;Wait;2011-11-24T14:16:44+01:00;Accepted
1-616288482;Assigned;2011-11-24T14:20:36+01:00;Accepted
1-616288482;In Progress;2011-11-24T14:20:44+01:00;Accepted
1-616288482;Assigned;2011-11-24T14:20:56+01:00;Accepted
1-616288482;Closed;2012-03-19T07:12:22+01:00;Completed
1-616409083;In Progress;2011-11-24T17:30:30+01:00;Accepted
1-616409083;Closed;2012-02-15T12:26:06+01:00;Completed
1-616409083;In Progress;2012-02-15T15:54:41+01:00;Accepted
1-616409083;Closed;2012-02-15T16:12:50+01:00;Completed
1-616977258;In Progress;2011-11-25T12:33:57+01:00;Accepted
1-616977258;Assigned;2012-01-05T11:31:53+01:00;Accepted
1-616977258;In Progress;2012-04-23T10:06:44+01:00;Accepted
1-616977258;Closed;2012-04-23T10:07:42+01:00;Completed
1-616993936;In Progress;2011-11-25T11:23:38+01:00;Accepted
1-616993936;Awaiting Assignment;2011-11-25T11:28:42+01:00;Queued
1-616993936;In Progress;2011-11-25T11:30:35+01:00;Accepted
1-616993936;Awaiting Assignment;2011-11-25T11:32:07+01:00;Queued
1-616993936;In Progress;2011-11-25T15:25:53+01:00;Accepted
1-616993936;Closed;2012-01-27T14:12:32+01:00;Completed
1-617042441;In Progress;2011-11-25T13:21:16+01:00;Accepted
1-617042441;Awaiting Assignment;2011-12-01T10:22:28+01:00;Queued
1-617042441;In Progress;2011-12-01T10:23:47+01:00;Accepted
1-617042441;Awaiting Assignment;2011-12-01T15:28:14+01:00;Queued
1-617042441;In Progress;2011-12-01T15:29:02+01:00;Accepted
1-617042441;Assigned;2011-12-01T15:29:41+01:00;Accepted
1-617042441;In Progress;2011-12-01T15:29:46+01:00;Accepted
1-617042441;Closed;2012-01-04T12:12:18+01:00;Completed
1-617049384;In Progress;2011-11-25T15:08:25+01:00;Accepted
1-617049384;Closed;2012-01-23T10:11:18+01:00;Completed
1-617084616;In Progress;2011-11-25T16:02:27+01:00;Accepted
1-617084616;Wait;2011-12-05T08:23:00+01:00;Accepted
1-617084616;Closed;2012-02-08T21:55:10+01:00;Completed
1-617356985;In Progress;2011-11-28T09:22:46+01:00;Accepted
1-617356985;Closed;2011-11-29T09:48:55+01:00;Completed
1-617356985;In Progress;2012-02-08T02:42:36+01:00;Accepted
1-617356985;Wait;2012-02-08T03:04:57+01:00;Accepted
1-617356985;Awaiting Assignment;2012-03-07T12:54:59+01:00;Queued
1-617356985;In Progress;2012-03-13T11:44:07+01:00;Accepted
1-617356985;Closed;2012-03-13T11:44:47+01:00;Completed
1-617389027;In Progress;2011-11-28T10:16:12+01:00;Accepted
1-617389027;Wait;2011-11-30T02:11:40+01:00;Accepted
1-617389027;Closed;2012-01-05T02:06:21+01:00;Completed
1-617470131;In Progress;2011-11-28T13:45:21+01:00;Accepted
1-617470131;Wait;2011-11-28T13:49:51+01:00;Accepted
1-617470131;Awaiting Assignment;2011-11-30T12:13:31+01:00;Queued
1-617470131;Assigned;2011-12-21T15:52:59+01:00;Accepted
1-617470131;In Progress;2012-02-13T08:21:31+01:00;Accepted
1-617470131;In Progress;2012-02-13T08:22:32+01:00;Accepted
1-617470131;Closed;2012-02-13T08:22:56+01:00;Completed
1-617696569;In Progress;2011-11-29T04:12:33+01:00;Accepted
1-617696569;Closed;2011-12-19T04:43:18+01:00;Completed
1-617696569;In Progress;2012-01-18T12:05:10+01:00;Accepted
1-617696569;Closed;2012-01-18T12:07:06+01:00;Completed
1-617696569;In Progress;2012-02-14T09:15:07+01:00;Accepted
1-617696569;Closed;2012-02-14T09:15:35+01:00;Completed
1-618041243;In Progress;2011-11-30T04:43:31+01:00;Accepted
1-618041243;Awaiting Assignment;2011-11-30T08:37:56+01:00;Queued
1-618041243;In Progress;2011-12-12T12:48:59+01:00;Accepted
1-618041243;Wait;2011-12-12T14:52:54+01:00;Accepted
1-618041243;Closed;2012-01-19T16:18:51+01:00;Completed
1-618041343;In Progress;2011-11-30T05:20:53+01:00;Accepted
1-618041343;Awaiting Assignment;2011-11-30T08:38:36+01:00;Queued
1-618041343;In Progress;2011-11-30T08:54:41+01:00;Accepted
1-618041343;Awaiting Assignment;2011-11-30T08:55:27+01:00;Queued
1-618041343;In Progress;2012-01-05T03:30:36+01:00;Accepted
1-618041343;Closed;2012-01-05T03:31:22+01:00;Completed
1-618116069;In Progress;2011-11-30T07:54:16+01:00;Accepted
1-618116069;Awaiting Assignment;2011-11-30T08:14:54+01:00;Queued
1-618116069;In Progress;2011-12-12T14:51:59+01:00;Accepted
1-618116069;Wait;2011-12-12T14:52:05+01:00;Accepted
1-618116069;Closed;2012-01-19T16:30:17+01:00;Completed
1-618143224;In Progress;2011-11-30T09:00:24+01:00;Accepted
1-618143224;Awaiting Assignment;2011-11-30T09:01:00+01:00;Queued
1-618143224;Assigned;2011-11-30T09:01:19+01:00;Accepted
1-618143224;In Progress;2011-12-14T09:39:58+01:00;Accepted
1-618143224;Closed;2012-01-20T13:06:33+01:00;Completed
1-618170625;In Progress;2011-11-30T09:24:37+01:00;Accepted
1-618170625;Assigned;2011-12-05T08:49:27+01:00;Accepted
1-618170625;Wait;2012-01-16T14:32:11+01:00;Accepted
1-618170625;Closed;2012-02-27T13:04:26+01:00;Completed
1-618171180;In Progress;2011-11-30T10:02:03+01:00;Accepted
1-618171180;Wait;2011-11-30T10:13:35+01:00;Accepted
1-618171180;Closed;2012-01-03T12:57:51+01:00;Completed
1-618283927;In Progress;2011-11-30T16:12:42+01:00;Accepted
1-618283927;In Progress;2012-02-06T15:19:01+01:00;Accepted
1-618283927;Closed;2012-02-06T15:21:33+01:00;Completed
1-618350811;In Progress;2011-11-30T15:31:18+01:00;Accepted
1-618350811;Wait;2011-11-30T17:01:49+01:00;Accepted
1-618350811;In Progress;2011-12-01T08:46:45+01:00;Accepted
1-618350811;Wait;2011-12-01T09:40:25+01:00;Accepted
1-618350811;In Progress;2011-12-01T14:48:20+01:00;Accepted
1-618350811;Wait;2011-12-01T14:57:08+01:00;Accepted
1-618350811;In Progress;2011-12-07T09:31:50+01:00;Accepted
1-618350811;Wait;2011-12-07T09:33:39+01:00;Accepted
1-618350811;In Progress;2011-12-16T09:54:02+01:00;Accepted
1-618350811;Wait;2011-12-16T11:32:18+01:00;Accepted
1-618350811;In Progress;2011-12-21T14:30:32+01:00;Accepted
1-618350811;Wait;2011-12-21T14:50:36+01:00;Accepted
1-618350811;In Progress;2011-12-22T15:46:34+01:00;Accepted
1-618350811;Wait;2011-12-22T15:47:39+01:00;Accepted
1-618350811;In Progress;2012-01-03T13:48:13+01:00;Accepted
1-618350811;Wait;2012-01-03T14:28:00+01:00;Accepted
1-618350811;In Progress;2012-01-04T10:19:43+01:00;Accepted
1-618350811;Wait;2012-01-04T10:22:53+01:00;Accepted
1-618350811;In Progress;2012-01-04T13:07:03+01:00;Accepted
1-618350811;In Progress;2012-01-04T13:22:48+01:00;Accepted
1-618350811;Awaiting Assignment;2012-01-04T13:23:34+01:00;Queued
1-618350811;In Progress;2012-01-04T13:24:20+01:00;Accepted
1-618350811;Awaiting Assignment;2012-01-04T13:34:55+01:00;Queued
1-618350811;In Progress;2012-01-04T13:45:03+01:00;Accepted
1-618350811;Wait;2012-01-04T14:12:21+01:00;Accepted
1-618350811;Awaiting Assignment;2012-01-05T09:43:34+01:00;Queued
1-618350811;In Progress;2012-03-02T13:53:06+01:00;Accepted
1-618350811;Wait;2012-03-02T14:05:20+01:00;Accepted
1-618350811;Awaiting Assignment;2012-03-08T10:31:51+01:00;Queued
1-618350811;Awaiting Assignment;2012-03-12T19:19:23+01:00;Queued
1-618350811;In Progress;2012-03-19T10:58:46+01:00;Accepted
1-618350811;Awaiting Assignment;2012-03-28T11:42:48+01:00;Queued
1-618350811;In Progress;2012-03-28T12:41:29+01:00;Accepted
1-618350811;In Progress;2012-03-28T13:40:01+01:00;Accepted
1-618350811;Closed;2012-03-28T13:42:04+01:00;Completed
1-618589528;In Progress;2011-12-01T15:52:56+01:00;Accepted
1-618589528;Assigned;2011-12-01T15:54:50+01:00;Accepted
1-618589528;In Progress;2011-12-06T16:05:32+01:00;Accepted
1-618589528;In Progress;2012-05-17T11:53:39+01:00;Accepted
1-618589528;Closed;2012-05-17T11:53:45+01:00;Completed
1-618620384;In Progress;2011-12-01T10:20:57+01:00;Accepted
1-618620384;Closed;2012-02-23T13:41:54+01:00;Completed
1-618764275;In Progress;2011-12-01T14:57:56+01:00;Accepted
1-618764275;Assigned;2011-12-21T11:32:55+01:00;Accepted
1-618764275;In Progress;2012-02-17T14:22:03+01:00;Accepted
1-618764275;Wait;2012-02-20T11:15:01+01:00;Accepted
1-618764275;In Progress;2012-02-24T15:15:47+01:00;Accepted
1-618764275;Assigned;2012-02-24T15:23:13+01:00;Accepted
1-618764275;In Progress;2012-02-24T15:56:03+01:00;Accepted
1-618764275;Closed;2012-02-24T15:56:06+01:00;Completed
1-618859631;In Progress;2011-12-01T17:34:34+01:00;Accepted
1-618859631;Awaiting Assignment;2011-12-01T17:35:30+01:00;Queued
1-618859631;In Progress;2011-12-01T17:44:11+01:00;Accepted
1-618859631;Wait;2011-12-01T17:50:49+01:00;Accepted
1-618859631;Awaiting Assignment;2011-12-05T14:44:20+01:00;Queued
1-618859631;In Progress;2011-12-12T15:29:04+01:00;Accepted
1-618859631;Closed;2012-01-19T09:11:19+01:00;Completed
1-618859631;In Progress;2012-01-19T09:11:24+01:00;Accepted
1-618859631;Closed;2012-01-19T09:11:34+01:00;Completed
1-618883006;In Progress;2011-12-02T04:39:11+01:00;Accepted
1-618883006;Awaiting Assignment;2011-12-02T04:39:48+01:00;Queued
1-618883006;In Progress;2011-12-02T07:49:59+01:00;Accepted
1-618883006;Awaiting Assignment;2011-12-02T07:50:11+01:00;Queued
1-618883006;In Progress;2012-01-05T03:31:59+01:00;Accepted
1-618883006;Closed;2012-01-05T03:32:02+01:00;Completed
1-619053302;In Progress;2011-12-02T11:04:01+01:00;Accepted
1-619053302;Awaiting Assignment;2011-12-02T11:06:46+01:00;Queued
1-619053302;In Progress;2011-12-02T13:13:40+01:00;Accepted
1-619053302;Assigned;2011-12-02T13:14:03+01:00;Accepted
1-619053302;In Progress;2012-01-02T13:14:01+01:00;Accepted
1-619053302;In Progress;2012-01-03T15:44:20+01:00;Accepted
1-619053302;Assigned;2012-01-03T15:47:07+01:00;Accepted
1-619053302;In Progress;2012-02-21T14:15:31+01:00;Accepted
1-619053302;Closed;2012-02-21T14:15:35+01:00;Completed
1-619067777;In Progress;2011-12-02T10:46:41+01:00;Accepted
1-619067777;Awaiting Assignment;2011-12-02T10:47:20+01:00;Queued
1-619067777;In Progress;2011-12-12T14:52:12+01:00;Accepted
1-619067777;Wait;2011-12-12T14:52:18+01:00;Accepted
1-619067777;In Progress;2012-01-06T06:25:12+01:00;Accepted
1-619067777;Closed;2012-01-06T06:26:16+01:00;Completed
1-619087129;In Progress;2011-12-02T12:09:21+01:00;Accepted
1-619087129;Closed;2012-01-03T11:10:20+01:00;Completed
1-619109941;In Progress;2011-12-02T12:45:33+01:00;Accepted
1-619109941;Awaiting Assignment;2011-12-02T12:51:13+01:00;Queued
1-619109941;In Progress;2011-12-06T11:32:54+01:00;Accepted
1-619109941;Awaiting Assignment;2011-12-06T11:35:01+01:00;Queued
1-619109941;In Progress;2011-12-06T12:50:12+01:00;Accepted
1-619109941;Awaiting Assignment;2011-12-06T12:56:00+01:00;Queued
1-619109941;In Progress;2011-12-06T13:54:20+01:00;Accepted
